Salary Rank,Salary,First Name,Last Name,Position
1,"$38,333,334 ",Stephen,Strasburg, Starting Pitcher
2,"$37,405,562 ",Max,Scherzer, Starting Pitcher
3,"$34,500,000 ",Zack,Greinke, Starting Pitcher
4,"$34,083,333 ",Mike,Trout, Center Field
5,"$31,000,000 ",Clayton,Kershaw, Starting Pitcher
6,"$31,000,000 ",David,Price, Starting Pitcher
7,"$30,000,000 ",Miguel,Cabrera, 1st Base
8,"$29,000,000 ",Yoenis,Cespedes, Center Field
9,"$28,000,000 ",Justin,Verlander, Starting Pitcher
10,"$28,000,000 ",Albert,Pujols, 1st Base
11,"$27,857,142 ",Felix,Hernandez, Starting Pitcher
12,"$27,500,000 ",Jon,Lester, Starting Pitcher
13,"$26,000,000 ",Nolan,Arenado, 3rd Base
14,"$26,000,000 ",Giancarlo,Stanton, Designated Hitter
15,"$25,000,000 ",Jordan,Zimmermann, Starting Pitcher
16,"$25,000,000 ",Joey,Votto, 1st Base
17,"$25,000,000 ",Jake,Arrieta, Starting Pitcher
18,"$24,000,000 ",Robinson,Cano, 2nd Base
19,"$23,750,000 ",J.D.,Martinez, Designated Hitter
20,"$23,000,000 ",Josh,Donaldson, 3rd Base
21,"$22,500,000 ",Jason,Heyward, Right Field
22,"$22,177,777 ",Buster,Posey, Catcher
23,"$22,000,000 ",Masahiro,Tanaka, Starting Pitcher
24,"$21,666,668 ",Edwin,Encarnacion, Designated Hitter
25,"$21,500,000 ",Matt,Kemp, Left Field
26,"$21,359,375 ",Freddie,Freeman, 1st Base
27,"$21,333,333 ",Charlie,Blackmon, Right Field
28,"$21,142,857 ",Jacoby,Ellsbury, Center Field
29,"$21,125,000 ",Rick,Porcello, Starting Pitcher
30,"$21,118,782 ",Chris,Davis, 1st Base
31,"$21,000,000 ",Eric,Hosmer, 1st Base
32,"$21,000,000 ",Shin-Soo,Choo, Designated Hitter
33,"$21,000,000 ",Johnny,Cueto, Starting Pitcher
34,"$20,333,333 ",Carlos,Santana, Designated Hitter
35,"$20,000,000 ",Russell,Martin, Catcher
36,"$20,000,000 ",Yu,Darvish, Starting Pitcher
37,"$20,000,000 ",Cole,Hamels, Starting Pitcher
38,"$20,000,000 ",Wei-Yin,Chen, Starting Pitcher
39,"$20,000,000 ",Alex,Gordon, Left Field
40,"$20,000,000 ",Yadier,Molina, Catcher
41,"$20,000,000 ",Mookie,Betts, Right Field
42,"$19,800,000 ",Jeff,Samardzija, Starting Pitcher
43,"$19,500,000 ",Kyle,Seager, 3rd Base
44,"$19,333,334 ",Kenley,Jansen, Relief Pitcher
45,"$19,000,000 ",Justin,Turner, 3rd Base
46,"$19,000,000 ",Mark,Melancon, Relief Pitcher
47,"$19,000,000 ",Ryan,Braun, Left Field
48,"$18,800,000 ",Anthony,Rendon, 3rd Base
49,"$18,666,668 ",Rich,Hill, Starting Pitcher
50,"$18,000,000 ",Wade,Davis, Relief Pitcher
51,"$18,000,000 ",Ryan,Zimmerman, 1st Base
52,"$18,000,000 ",Justin,Upton, Left Field
53,"$17,900,000 ",Hyun-Jin,Ryu, Starting Pitcher
54,"$17,200,000 ",Aroldis,Chapman, Relief Pitcher
55,"$17,200,000 ",Brandon,Belt, 1st Base
56,"$17,200,000 ",Corey,Kluber, Starting Pitcher
57,"$17,000,000 ",J.A.,Happ, Starting Pitcher
58,"$17,000,000 ",Nathan,Eovaldi, Starting Pitcher
59,"$17,000,000 ",Jacob,deGrom, Starting Pitcher
60,"$16,500,000 ",Khris,Davis, Designated Hitter
61,"$16,500,000 ",Ian,Kennedy, Starting Pitcher
62,"$16,500,000 ",Dexter,Fowler, Center Field
63,"$16,000,000 ",Jose,Abreu, Designated Hitter
64,"$16,000,000 ",Michael,Brantley, Left Field
65,"$16,000,000 ",Yasmani,Grandal, Catcher
66,"$16,000,000 ",Mike,Leake, Starting Pitcher
67,"$15,500,000 ",Yasmany,Tomas, Left Field
68,"$15,500,000 ",Paul,Goldschmidt, 1st Base
69,"$15,250,000 ",Elvis,Andrus, Shortstop
70,"$15,250,000 ",Danny,Duffy, Starting Pitcher
71,"$15,200,000 ",Brandon,Crawford, Shortstop
72,"$15,125,000 ",Dustin,Pedroia, 2nd Base
73,"$15,000,000 ",Charlie,Morton, Starting Pitcher
74,"$15,000,000 ",Ian,Desmond, Center Field
75,"$15,000,000 ",Martin,Prado, 1st Base
76,"$15,000,000 ",Chris,Sale, Starting Pitcher
77,"$14,950,000 ",Jean,Segura, Shortstop
78,"$14,750,000 ",Matt,Carpenter, 1st Base
79,"$14,666,668 ",Jason,Kipnis, 2nd Base
80,"$14,500,000 ",Evan,Longoria, 3rd Base
81,"$14,000,000 ",Lorenzo,Cain, Center Field
82,"$14,000,000 ",Jay,Bruce, Right Field
83,"$14,000,000 ",Alex,Cobb, Starting Pitcher
84,"$14,000,000 ",Nelson,Cruz, Designated Hitter
85,"$13,500,000 ",Gerrit,Cole, Starting Pitcher
86,"$13,500,000 ",Mark,Trumbo, Designated Hitter
87,"$13,300,000 ",Dee,Gordon, 2nd Base
88,"$13,000,000 ",Zack,Britton, Relief Pitcher
89,"$13,000,000 ",Josh,Reddick, Right Field
90,"$13,000,000 ",Trevor,Bauer, Starting Pitcher
91,"$13,000,000 ",Andrelton,Simmons, Shortstop
92,"$13,000,000 ",Jedd,Gyorko, 3rd Base
93,"$12,916,666 ",Patrick,Corbin, Starting Pitcher
94,"$12,900,000 ",Kris,Bryant, 3rd Base
95,"$12,666,666 ",Zack,Cozart, 3rd Base
96,"$12,500,000 ",Ben,Zobrist, 2nd Base
97,"$12,500,000 ",Tyler,Chatwood, Starting Pitcher
98,"$12,250,000 ",Marcell,Ozuna, Left Field
99,"$12,000,000 ",Manny,Machado, 3rd Base
100,"$12,000,000 ",D.J.,LeMahieu, 2nd Base
